iter	Passed	Remaining
0	1	127
1	2	119
2	3	122
3	4	117
4	6	117
5	7	114
6	8	113
7	9	114
8	11	114
9	12	113
10	13	112
11	15	110
12	16	109
13	17	108
14	19	107
15	20	106
16	21	105
17	22	103
18	23	101
19	24	99
20	25	97
21	27	95
22	27	93
23	29	92
24	30	91
25	31	89
26	32	87
27	33	85
28	34	84
29	35	82
30	36	80
31	37	79
32	38	77
33	38	75
34	39	73
35	40	72
36	41	71
37	42	69
38	44	68
39	44	67
40	45	65
41	46	63
42	46	62
43	47	60
44	48	59
45	49	58
46	50	56
47	51	55
48	52	54
49	53	53
50	53	51
51	54	50
52	55	49
53	56	47
54	56	46
55	57	45
56	58	44
57	59	43
58	60	42
59	61	41
60	62	40
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	100	3
97	101	2
98	102	1
99	102	0
